"feature"
"dem"
"bdod_0.5"
"clay_0.5"
"bio1"
"cfvo_0.5"
"bio12"
"sand_0.5"
"cec_0.5"
"silt_0.5"
"soc_5.15"
"phh2o_0.5"
"nitrogen_0.5"
"lc"

