"x","y","NPP","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","geosif","LSIF.mean","LSIF.max","lai.max","lc","years","dem","bdod_0-5","bdod_100-200","bdod_15-30","bdod_30-60","bdod_5-15","bdod_60-100","cec_0-5","cec_100-200","cec_15-30","cec_30-60","cec_5-15","cec_60-100","cfvo_0-5","cfvo_100-200","cfvo_15-30","cfvo_30-60","cfvo_5-15","cfvo_60-100","clay_0-5","clay_100-200","clay_15-30","clay_30-60","clay_5-15","clay_60-100","nitrogen_0-5","nitrogen_100-200","nitrogen_15-30","nitrogen_30-60","nitrogen_5-15","nitrogen_60-100","ocd_0-5","ocd_100-200","ocd_15-30","ocd_30-60","ocd_5-15","ocd_60-100","ocs_0-30","phh2o_0-5","phh2o_100-200","phh2o_15-30","phh2o_30-60","phh2o_5-15","phh2o_60-100","sand_0-5","sand_100-200","sand_15-30","sand_30-60","sand_5-15","sand_60-100","silt_0-5","silt_100-200","silt_15-30","silt_30-60","silt_5-15","silt_60-100","soc_0-5","soc_100-200","soc_15-30","soc_30-60","soc_5-15","soc_60-100","site"
97.5166156675947,39.1171390469846,54.4999986886978,-7.15955638885498,-12.2594404220581,-88.4921569824219,978.588073730469,-1.42528808116913,-15.2866630554199,13.8613748550415,3.39175605773926,-16.5929412841797,4.51680660247803,-19.5657634735107,217.69612121582,68.6005477905273,0.5,125.565483093262,157.676055908203,2.20000004768372,105.327224731445,2.20000004768372,-0.018765754699707,0.0245804190635681,0.107532076537609,0.266666680574417,10,2001,4159.330078125,111.942649841309,148.246994018555,124.695663452148,139.246994018555,116.942649841309,145.399154663086,222.402435302734,175.511581420898,177.910720825195,171.037475585938,179.163269042969,164.227111816406,217.069763183594,329.884338378906,244.961578369141,269.14990234375,226.65168762207,301.753387451172,189.771926879883,198.171081542969,195.659515380859,193.196502685547,190.918548583984,210.746505737305,237.617126464844,70.815544128418,156.917236328125,122.827003479004,196.31184387207,84.7197723388672,269.242767333984,42.1401138305664,210.881072998047,111.041061401367,240.49397277832,74.4685516357422,42.6689262390137,74.9051818847656,77.3418045043945,76,77.2469863891602,76,77.3418045043945,446,432.102630615234,432.416748046875,428.296508789062,441.511566162109,421.774200439453,364.228057861328,369.726287841797,371.923736572266,377.848785400391,367.569885253906,367.726287841797,255.439361572266,71.7993087768555,190.815948486328,141.785339355469,230.291015625,86.5412292480469,2.49293833964864
97.5255988204359,39.1171390469846,54.4999986886978,-7.30824136734009,-12.1702861785889,-88.8908081054688,972.504272460938,-1.62672543525696,-15.3451337814331,13.7184085845947,3.20242309570312,-16.645092010498,4.32874631881714,-19.6114864349365,220.906661987305,69.6527328491211,0.5,125.231842041016,159.518646240234,2.19024586677551,106.303245544434,2.20000004768372,-0.017880451965332,0.026498032733798,0.107532076537609,0.225000008940697,10,2001,4117.4677734375,111.83927154541,148.658157348633,124.081634521484,139.558670043945,116.938758850098,146.515274047852,219.683700561523,172.750106811523,177.061248779297,169.645462036133,179.173416137695,161.750106811523,222.805847167969,325.653228759766,245.612213134766,264.278228759766,227.533111572266,305.834014892578,194.890029907227,203.410461425781,202.566024780273,199.583877563477,195.696212768555,213.323837280273,226.291259765625,63.280948638916,154.571533203125,121.278060913086,185.023345947266,78.7272644042969,271.852020263672,45.5840454101562,211.579132080078,118.767608642578,237.834350585938,73.7449417114258,34.8778533935547,75,77.8571166992188,76.0994873046875,77.7576370239258,76.0994873046875,77.8571166992188,445.204132080078,436.2421875,431.242370605469,425.7705078125,440.142883300781,427.594177246094,359.806365966797,360.247863769531,366.191619873047,374.403259277344,364.061401367188,359.740142822266,251.193710327148,66.4107971191406,181.699172973633,141.731918334961,218.954406738281,81.1378936767578,2.49316798713974
97.5435651261183,39.1171390469846,53.1999990344048,-6.36276197433472,-12.9244956970215,-99.6078414916992,975.805358886719,-1.10529732704163,-14.0928153991699,12.9875183105469,4.08678913116455,-15.7214384078979,5.2636604309082,-18.8045310974121,208.838088989258,65.8657150268555,0.5,125.509452819824,151.569137573242,2.1381516456604,101.476486206055,2.20000004768372,-0.0170693740844727,0.0272208973765373,0.107532076537609,0.300000011920929,10,2001,3954.51611328125,117.462600708008,148,128.537399291992,138.925201416016,123.925201416016,147.462600708008,218.224395751953,155.299194335938,177.939010620117,166.775604248047,187.326812744141,145.686996459961,221.060989379883,279.135803222656,222.747985839844,236.434982299805,213.822784423828,273.734191894531,215.373992919922,222.775604248047,217.911392211914,218.775604248047,203.060989379883,228.313003540039,190.673187255859,52.6121978759766,137.047180175781,102.822784423828,141.19677734375,66.2991943359375,225.883773803711,52.1495971679688,167.19677734375,116.074798583984,188.808975219727,68.0747985839844,30.5373992919922,76.8504028320312,79.9252014160156,78.8504028320312,78.9252014160156,78.8504028320312,79.9252014160156,437.537414550781,447.238189697266,432.387786865234,424.387786865234,439.462585449219,423.68701171875,347.013793945312,329.448791503906,349.238189697266,356.373992919922,356.938995361328,348,253.667434692383,73.4764099121094,161.551208496094,154.013809204102,201.102416992188,87.4764099121094,2.49362728212194
97.5525482789594,39.1171390469846,52.2000007331371,-6.19860363006592,-13.1453428268433,-103.705055236816,973.389953613281,-1.08354878425598,-13.7694978713989,12.6859483718872,4.2265944480896,-15.5210886001587,5.41527557373047,-18.6070346832275,205.723190307617,64.279411315918,0.5,125.183959960938,149.203964233398,2.09999990463257,100.693801879883,2.20000004768372,-0.016663835144043,0.0275493767112494,0.114525087177753,0.300000011920929,10,2001,3894.44140625,120.178924560547,147.369781494141,128.972198486328,139.631149291992,126.206718444824,147.027801513672,215.791427612305,151.845153808594,186.542343139648,170.469024658203,196.516418457031,143.449447631836,220.020355224609,276.758972167969,219.784912109375,229.343673706055,208.893295288086,260.667938232422,218.776702880859,230.250381469727,223.954696655273,230.661956787109,204.541259765625,236.852813720703,181.168472290039,50.1352615356445,118.970893859863,90.960823059082,123.914375305176,61.5847015380859,206.994033813477,49.1621246337891,149.914367675781,115.053733825684,164.322937011719,69.8897476196289,28.766414642334,79.207649230957,81.2613830566406,80.8925399780273,80.2613830566406,80.8925399780273,81.2613830566406,430.409515380859,444.824798583984,428.247375488281,422.138061523438,433.670867919922,417.037872314453,351.760070800781,324.89794921875,347.139923095703,346.857086181641,361.760986328125,346.109313964844,275.847564697266,79.3634262084961,164.211364746094,159.390289306641,216.19123840332,91.4727478027344,2.49385692961304
97.5615314318006,39.1171390469846,54.9999997019768,-6.07820701599121,-13.3488092422485,-108.36986541748,969.669250488281,-1.10000002384186,-13.4276580810547,12.327657699585,4.32809638977051,-15.3462829589844,5.5256199836731,-18.4319896697998,203.953048706055,63.1616821289062,0.5,124.504638671875,147.441314697266,2.09999990463257,100.024215698242,2.20000004768372,-0.0162582962036133,0.0278584770858288,0.11645545065403,0.275000005960464,10,2001,3868.9296875,124.114646911621,146.181106567383,130.644515991211,139.006729125977,128.470138549805,145.355484008789,217.489471435547,153.321823120117,189.818023681641,172.992401123047,198.341156005859,145.166778564453,228.996917724609,283.327209472656,230.989318847656,237.861206054688,218.344802856445,261.213439941406,231.453582763672,236.888137817383,241.206878662109,243.440994262695,217.769546508789,245.848602294922,177.492080688477,48.0202026367188,111.25431060791,87.839958190918,121.020202636719,59.6781806945801,206.838226318359,47.5231323242188,146.684921264648,112.485343933105,153.164855957031,74.5982437133789,27.0327968597412,79.6579818725586,81.8256225585938,81,80.8256225585938,81,81.8256225585938,419.997222900391,435.313171386719,419.474090576172,415.254302978516,424.158111572266,410.602203369141,349.549194335938,327.798675537109,338.977020263672,341.788299560547,358.072326660156,343.549194335938,270.390014648438,76.8592910766602,160.762237548828,159.038665771484,219.921813964844,85.234977722168,2.49408657710415
97.5705145846418,39.1171390469846,53.5000003874302,-5.97440004348755,-13.5479021072388,-112.563804626465,966.270263671875,-1.10000002384186,-13.1417465209961,12.0417461395264,4.42442417144775,-15.1941061019897,5.62442398071289,-18.2774391174316,203.326629638672,63.4617500305176,0.5,124.47484588623,146.964584350586,2.09999990463257,99.1403198242188,2.20000004768372,-0.0158527572631836,0.0281498674303293,0.11645545065403,0.275000005960464,10,2001,3846.59399414062,126.356262207031,145.382446289062,131.718521118164,138.362258911133,129.698318481445,144.362258911133,220.63298034668,156.015426635742,194.56640625,177.647171020508,202.56640625,149.727951049805,228.817291259766,277.660766601562,235.363494873047,241.605819702148,221.624786376953,249.638381958008,233.528579711914,237.166320800781,243.292236328125,242.794616699219,219.152114868164,246.306442260742,169.190307617188,45.9454154968262,106.52857208252,82.9170227050781,119.127166748047,57.2672843933105,209.431045532227,46.9596099853516,143.528579711914,104.908828735352,151.256530761719,76.6983261108398,27.2956771850586,79.3218688964844,82,81,81,81,82,417.6591796875,432.242340087891,417.780334472656,411.094024658203,423.156799316406,409.6591796875,349.792053222656,330.591369628906,338.249298095703,346.413055419922,357.691101074219,344.034393310547,262.487213134766,73.4074096679688,163.853607177734,162.364456176758,217.240127563477,78.7958602905273,2.49431622459525
97.579497737483,39.1171390469846,53.5000003874302,-5.87203502655029,-13.7658214569092,-117.616912841797,962.723937988281,-1.10000002384186,-12.8109788894653,11.7109785079956,4.51346683502197,-15.0398292541504,5.72900247573853,-18.1193199157715,203.429656982422,64.0658264160156,0.5,124.859992980957,147.269561767578,2.09999990463257,98.6638412475586,2.20000004768372,-0.0155973129272461,0.028399495407939,0.11645545065403,0.25,10,2001,3826.6357421875,127,146.59196472168,133.061309814453,139.061309814453,130.530654907227,145.061309814453,228.367874145508,164.959854125977,200.714599609375,185.837219238281,208.714599609375,159.959854125977,232.367874145508,285.327728271484,244.551818847656,256.919708251953,228.959854125977,256.450347900391,229.877380371094,232.816055297852,233.57080078125,228.856201171875,214.346710205078,237.040145874023,165.061309814453,44.4693450927734,102.877372741699,80.5306549072266,122.245254516602,55.4693450927734,212.061309814453,45.9386863708496,139.877380371094,102.122627258301,157.837219238281,77.5306549072266,26.4080295562744,79,82,81,81,81,82,425.959838867188,438.367889404297,429.143798828125,421.735748291016,435.674438476562,417.959838867188,344.632110595703,328.816070556641,336.285400390625,348.877380371094,349.978820800781,345,265.959838867188,66.6934356689453,152.080291748047,163.40803527832,223.02116394043,73.3467178344727,2.49454587208635
97.5884808903242,39.1171390469846,57.3999993503094,-5.78020620346069,-13.9005308151245,-120.373916625977,962.9169921875,-1.10000002384186,-12.6497955322266,11.5497951507568,4.61523962020874,-14.9437303543091,5.83738231658936,-18.0257987976074,201.792816162109,62.5745544433594,0.5,123.209869384766,144.922622680664,2.09999990463257,97.6722564697266,3.04600834846497,-0.015491552734375,0.0286197848618031,0.11645545065403,0.300000011920929,10,2001,3800.76489257812,127.383201599121,148.383209228516,134.383209228516,140.766403198242,131.383209228516,146.383209228516,230.16796875,163.186340332031,199.018371582031,184.102355957031,209.317581176758,159.335952758789,230.719146728516,291.868743896484,241.120712280273,260.270324707031,226.036727905273,263.719146728516,219.186340332031,220.803131103516,218.569534301758,210.952743530273,203.569534301758,223.485549926758,164.850387573242,44,102.916015625,81.7664031982422,124.850395202637,56.1496086120605,209.934371948242,45.3832015991211,137.233596801758,102.083984375,157.635162353516,76.8503952026367,25.7664051055908,79,82,81,81,81,82,437.215240478516,452.430450439453,443.215240478516,434.532806396484,448.299224853516,430.748046875,343.598419189453,326.766418457031,337.598419189453,353.897644042969,348.131256103516,345.766418457031,268.018371582031,61.2335929870605,141.065628051758,156.635162353516,226.401565551758,71.3832015991211,2.49477551957745
97.5974640431654,39.1171390469846,53.8999997079372,-5.71161603927612,-14.0071105957031,-122.041946411133,964.298156738281,-1.07251560688019,-12.5506362915039,11.4781198501587,4.70804309844971,-14.8771476745605,5.93018531799316,-17.974422454834,200.870651245117,62.1053695678711,0.5,122.596328735352,143.849273681641,2.15617108345032,97.1015090942383,3.35617113113403,-0.015385791015625,0.0288400743156672,0.116593293845654,0.275000005960464,10,2001,3796.90991210938,128.129348754883,148.657806396484,134.893569946289,141.315612792969,131.893569946289,146.893569946289,221.527725219727,150.976226806641,189.082763671875,172.557968139648,202.208450317383,148.185424804688,224.322814941406,283.938568115234,230.486053466797,248.33757019043,217.482406616211,257.55859375,208.155075073242,207.139587402344,208.048645019531,202.121063232422,193.52018737793,215.988052368164,165.205413818359,44.7073020935059,104.76057434082,83.0229187011719,121.433128356934,57.4449577331543,205.85139465332,45.4220390319824,138.098999023438,99.7678909301758,151.668792724609,74.8477401733398,26.5513820648193,79.2357711791992,82,81.2357711791992,80.7642288208008,81,82,441.178955078125,464.130187988281,446.943176269531,434.688171386719,449.475311279297,437.696319580078,350.665985107422,328.494445800781,344.665985107422,362.848602294922,357.004516601562,346.315612792969,253.838943481445,60.684383392334,144.441299438477,149.018417358398,211.553680419922,71.8935775756836,2.49500516706855
97.6064471960066,39.1171390469846,57.9000003635883,-5.72112464904785,-14.0691137313843,-122.413391113281,964.251770019531,-1.09696459770203,-12.5927171707153,11.4957523345947,4.69720935821533,-14.8679847717285,5.93489742279053,-17.9924297332764,199.920623779297,62.0353088378906,0.5,123.645263671875,143.974197387695,2.13732695579529,97.337287902832,2.36877369880676,-0.0152800308227539,0.0290603619068861,0.117088630795479,0.225000008940697,10,2001,3795.7822265625,128.481063842773,148.430587768555,135,140.772827148438,131.911651611328,147.088348388672,211.482971191406,147.066009521484,178.345565795898,163.948486328125,191.334381103516,143.13200378418,229.799041748047,283.983062744141,238.061157226562,249.931060791016,224.127166748047,263.633514404297,206.531539916992,200.639770507812,207.680114746094,204.764099121094,193.818939208984,217.172348022461,169.940811157227,46.3267021179199,105.70539855957,84.3645858764648,118.267997741699,57.4305877685547,206.236938476562,44.596118927002,142.499053955078,100.011177062988,152.907287597656,73.772819519043,26.3422355651855,79.7461166381836,81.9116439819336,81.5694122314453,80.3422317504883,80.9116439819336,81.9116439819336,438.953887939453,467.138824462891,442.882476806641,430.147552490234,445.766021728516,436.524719238281,354.602935791016,331.563629150391,348.779632568359,364.430572509766,360.415069580078,346.302947998047,236.91943359375,61.3155288696289,143.850006103516,142.178512573242,191.216979980469,71.558235168457,2.49523481455965
